,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,RainingDays,fruitset,yield
130,130,12.5,0.25,0.25,0.25,0.75,69.7,34.0,0.467812388,5377.270863
23,23,37.5,0.25,0.25,0.25,0.25,77.4,24.0,0.384633032,3837.512961
676,676,25.0,0.5,0.38,0.38,0.63,69.7,1.0,0.502785174,6702.780378
555,555,25.0,0.5,0.25,0.63,0.5,94.6,16.0,0.474009658,5333.973572
370,370,12.5,0.25,0.38,0.38,0.5,69.7,34.0,0.483872542,5665.219597
512,512,25.0,0.5,0.25,0.5,0.5,94.6,34.0,0.320564713,3238.028147
383,383,12.5,0.25,0.38,0.38,0.63,77.4,24.0,0.600388431,7604.315838
201,201,12.5,0.25,0.25,0.38,0.75,94.6,24.0,0.46274257,5225.163069
368,368,12.5,0.25,0.38,0.38,0.5,77.4,34.0,0.587276072,7174.664896
554,554,25.0,0.5,0.25,0.63,0.5,86.0,1.0,0.521119725,6595.456285
610,610,25.0,0.5,0.25,0.75,0.5,77.4,1.0,0.510668562,6279.338501
387,387,12.5,0.25,0.38,0.38,0.75,86.0,16.0,0.638323095,8465.885625
292,292,12.5,0.25,0.25,0.63,0.75,86.0,1.0,0.62677511,8440.960969
256,256,12.5,0.25,0.25,0.5,0.75,77.4,34.0,0.578556842,7175.068982
606,606,25.0,0.5,0.25,0.75,0.5,86.0,34.0,0.395387929,4305.511821
197,197,12.5,0.25,0.25,0.38,0.75,94.6,16.0,0.593049003,7399.875886
95,95,12.5,0.25,0.25,0.25,0.5,77.4,24.0,0.545094508,6475.894556
747,747,25.0,0.5,0.38,0.63,0.5,94.6,16.0,0.529162599,6594.044595
732,732,25.0,0.5,0.38,0.5,0.75,94.6,1.0,0.560445243,7415.894412
169,169,12.5,0.25,0.25,0.38,0.5,94.6,24.0,0.43687052,4769.318273
581,581,25.0,0.5,0.25,0.63,0.63,77.4,24.0,0.484089347,5529.066137
305,305,12.5,0.25,0.25,0.63,0.75,69.7,24.0,0.530291604,6482.705721
560,560,25.0,0.5,0.25,0.63,0.5,94.6,34.0,0.32833671,3447.082101
373,373,12.5,0.25,0.38,0.38,0.63,94.6,16.0,0.612390179,7714.323102
227,227,12.5,0.25,0.25,0.5,0.63,86.0,16.0,0.597060641,7541.667404
660,660,25.0,0.5,0.38,0.38,0.5,69.7,1.0,0.507541905,6251.611839
143,143,12.5,0.25,0.25,0.38,0.25,77.4,24.0,0.511830268,5864.128447
180,180,12.5,0.25,0.25,0.38,0.63,86.0,1.0,0.621749749,8064.73881
131,131,12.5,0.25,0.25,0.38,0.25,86.0,16.0,0.52661476,6026.063649
738,738,25.0,0.5,0.38,0.5,0.75,77.4,1.0,0.569329938,7771.010274
47,47,25.0,0.25,0.25,0.25,0.38,94.6,34.0,0.283055065,2452.680747
324,324,12.5,0.25,0.25,0.75,0.63,86.0,1.0,0.610993712,7963.939307
203,203,12.5,0.25,0.25,0.38,0.75,77.4,16.0,0.606599706,7907.240674
84,84,12.5,0.25,0.25,0.25,0.5,86.0,1.0,0.599956822,7660.886044
633,633,25.0,0.5,0.25,0.75,0.75,86.0,16.0,0.517170184,6155.896087
565,565,25.0,0.5,0.25,0.63,0.5,77.4,24.0,0.4693892,5330.062031
611,611,25.0,0.5,0.25,0.75,0.5,69.7,16.0,0.458581988,5834.98164
398,398,12.5,0.25,0.38,0.38,0.75,69.7,1.0,0.566319234,7416.707761
91,91,12.5,0.25,0.25,0.25,0.5,77.4,16.0,0.572611128,7022.189731
82,82,12.5,0.25,0.25,0.25,0.38,69.7,34.0,0.428321547,4667.724945
430,430,12.5,0.25,0.38,0.5,0.63,69.7,1.0,0.557376524,7317.951035
119,119,12.5,0.25,0.25,0.25,0.75,86.0,24.0,0.559094277,6673.303998
291,291,12.5,0.25,0.25,0.63,0.75,86.0,16.0,0.611039732,7897.9319
57,57,12.5,0.25,0.25,0.25,0.25,94.6,24.0,0.376009787,3784.119353
321,321,12.5,0.25,0.25,0.75,0.5,69.7,24.0,0.518556034,6500.097782
257,257,12.5,0.25,0.25,0.5,0.75,69.7,24.0,0.521906846,6621.250814
736,736,25.0,0.5,0.38,0.5,0.75,94.6,34.0,0.387861179,3901.989548
442,442,12.5,0.25,0.38,0.5,0.75,94.6,34.0,0.480707687,5329.263197
42,42,25.0,0.25,0.25,0.25,0.38,94.6,16.0,0.419015102,4546.786741
617,617,25.0,0.5,0.25,0.75,0.63,86.0,16.0,0.506346175,6190.665974
388,388,12.5,0.25,0.38,0.38,0.75,86.0,1.0,0.652144089,8969.401842
335,335,12.5,0.25,0.25,0.75,0.63,77.4,24.0,0.569935673,6929.554801
273,273,12.5,0.25,0.25,0.63,0.5,69.7,24.0,0.505120461,6187.951881
488,488,25.0,0.5,0.25,0.38,0.63,69.7,34.0,0.384610827,4167.451239
550,550,25.0,0.5,0.25,0.5,0.75,77.4,34.0,0.480072982,5496.085062
53,53,12.5,0.25,0.25,0.25,0.25,94.6,16.0,0.490965919,5501.878077
727,727,25.0,0.5,0.38,0.5,0.63,69.7,24.0,0.476202171,5544.621725
128,128,12.5,0.25,0.25,0.25,0.75,77.4,34.0,0.574989422,7044.567605
28,28,25.0,0.25,0.25,0.25,0.25,94.6,1.0,0.425010896,4476.811464
183,183,12.5,0.25,0.25,0.38,0.63,86.0,24.0,0.552926828,6524.295322
459,459,25.0,0.5,0.25,0.38,0.5,94.6,16.0,0.464411249,5205.320295
510,510,25.0,0.5,0.25,0.5,0.5,86.0,34.0,0.372318474,3764.319732
675,675,25.0,0.5,0.38,0.38,0.63,69.7,16.0,0.499992838,6491.223531
151,151,12.5,0.25,0.25,0.38,0.38,86.0,24.0,0.500183678,5534.804936
244,244,12.5,0.25,0.25,0.5,0.75,86.0,1.0,0.619006054,8002.997103
714,714,25.0,0.5,0.38,0.5,0.63,86.0,1.0,0.566413581,7236.090253
543,543,25.0,0.5,0.25,0.5,0.75,94.6,24.0,0.404225284,4576.100711
544,544,25.0,0.5,0.25,0.5,0.75,94.6,34.0,0.334593591,3244.329258
639,639,25.0,0.5,0.25,0.75,0.75,94.6,24.0,0.403217329,4218.327986
697,697,25.0,0.5,0.38,0.5,0.5,86.0,16.0,0.524635459,6412.473451
265,265,12.5,0.25,0.25,0.63,0.5,94.6,24.0,0.454937519,5151.386473
288,288,12.5,0.25,0.25,0.63,0.63,77.4,34.0,0.557250655,6708.241295
423,423,12.5,0.25,0.38,0.5,0.63,86.0,24.0,0.582604099,7303.58812
147,147,12.5,0.25,0.25,0.38,0.38,86.0,16.0,0.553729922,6683.200614
659,659,25.0,0.5,0.38,0.38,0.5,69.7,16.0,0.492994856,5791.456731
177,177,12.5,0.25,0.25,0.38,0.5,69.7,24.0,0.51204794,6132.997934
99,99,12.5,0.25,0.25,0.25,0.63,86.0,16.0,0.595273348,7451.725625
448,448,12.5,0.25,0.38,0.5,0.75,77.4,34.0,0.605130356,7617.395889
431,431,12.5,0.25,0.38,0.5,0.63,77.4,24.0,0.600435148,7564.774933
709,709,25.0,0.5,0.38,0.5,0.5,77.4,24.0,0.508275418,5916.862241
115,115,12.5,0.25,0.25,0.25,0.75,86.0,16.0,0.611725787,7924.516776
72,72,12.5,0.25,0.25,0.25,0.38,86.0,34.0,0.416271363,4350.42467
537,537,25.0,0.5,0.25,0.5,0.75,86.0,16.0,0.520180895,6320.961115
677,677,25.0,0.5,0.38,0.38,0.63,77.4,24.0,0.520587192,6263.807879
762,762,20.0,18.43,0.0,0.0,0.0,86.0,3.77,0.559628479,6131.30938
174,174,12.5,0.25,0.25,0.38,0.5,69.7,1.0,0.535364693,7130.830014
87,87,12.5,0.25,0.25,0.25,0.5,86.0,24.0,0.507748656,5852.874202
551,551,25.0,0.5,0.25,0.5,0.75,69.7,24.0,0.459087683,5663.065794
486,486,25.0,0.5,0.25,0.38,0.63,77.4,34.0,0.470643424,5234.746964
705,705,25.0,0.5,0.38,0.5,0.5,77.4,16.0,0.53427161,6608.041629
314,314,12.5,0.25,0.25,0.75,0.5,94.6,34.0,0.408487848,4281.52619
396,396,12.5,0.25,0.38,0.38,0.75,77.4,1.0,0.641617746,8743.520983
600,600,25.0,0.5,0.25,0.63,0.75,69.7,34.0,0.38581266,4245.285732
472,472,25.0,0.5,0.25,0.38,0.5,69.7,34.0,0.375383664,4290.964878
70,70,12.5,0.25,0.25,0.25,0.38,94.6,1.0,0.547743879,6564.958302
599,599,25.0,0.5,0.25,0.63,0.75,69.7,24.0,0.451103585,5455.118908
754,754,25.0,0.5,0.38,0.63,0.5,77.4,1.0,0.558394035,7184.013843
277,277,12.5,0.25,0.25,0.63,0.63,94.6,16.0,0.579981861,7231.027782
723,723,25.0,0.5,0.38,0.5,0.63,69.7,16.0,0.477123825,5865.384715
9,9,37.5,0.75,0.25,0.25,0.25,77.4,1.0,0.464365879,5356.871861
359,359,12.5,0.25,0.38,0.38,0.5,86.0,24.0,0.566076664,6848.626223
707,707,25.0,0.5,0.38,0.5,0.5,69.7,16.0,0.487117428,5911.49359
763,763,20.0,6.64,0.065,0.229,0.033,86.0,3.77,0.539255853,5686.121958
192,192,12.5,0.25,0.25,0.38,0.63,77.4,34.0,0.553032347,6540.105445
629,629,25.0,0.5,0.25,0.75,0.63,77.4,24.0,0.49368953,5837.215029
559,559,25.0,0.5,0.25,0.63,0.5,94.6,24.0,0.36099568,3828.16556
684,684,25.0,0.5,0.38,0.38,0.75,94.6,1.0,0.552071106,6903.873395
